ResponseId	Trigger	Trigger Token	Action	Action Token	Frequency	Week	Time	Schedule
R_ustn59oYT3EeRl7	time is 08:00AM	<null,time,morning>	open bedroom_windowShade	<Shades/Blinds,contact,opened>	Few times in a day (1-5/day)	Anytime	Morning (6am- 11am)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_ustn59oYT3EeRl7	time is 08:00PM	<null,time,night>	close bedroom_windowShade AND switch on smart tv	<Shades/Blinds-Smart_TV,contact-switch,closed-on>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_ustn59oYT3EeRl7	home_presence is true	<Presence_Sensor,presence,present>	set mode to Home AND unlock door AND open garage door AND switch off security camera	<Door_Lock-Garage_Door_Opener-Security_Camera-null,lock-contact-switch-locationMode,unlocked-opened-off-home>	Few times in a day (1-5/day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	home_presence is false AND mode is NOT Vacation	<Presence_Sensor-null,presence-locationMode,not_present-not_vacation>	set mode to Away AND lock door AND close garage door AND switch on security camera	<Door_Lock-Garage_Door_Opener-Security_Camera-null,lock-contact-switch-locationMode,locked-closed-on-away>	Few times in a day (1-5/day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	time is 08:00AM AND mode is NOT Vacation	<null-null,locationMode-time,morning-not_vacation>	set thermostat coolingSetpoint to 73	<Thermostat,thermostat,auto>	Few times in a day (1-5/day)	Anytime	Morning (6am- 11am)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_ustn59oYT3EeRl7	time is 08:00PM AND mode is NOT Vacation	<null-null,locationMode-time,night-not_vacation>	set thermostat coolingSetpoint to 70	<Thermostat,thermostat,auto>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_ustn59oYT3EeRl7	mode is Vacation	<null,locationMode,vacation>	set thermostat coolingSetpoint to 78 AND lock door AND close garage door AND switch on security camera	<Door_Lock-Garage_Door_Opener-Security_Camera-Thermostat,lock-contact-switch-thermostat,locked-closed-on-decreased>	Few times in a month	Weekend	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	livingroom_presence is true	<Presence_Sensor,presence,present>	set lightbulb switch on	<Light_Bulb,switch,on>	Many times in a day (5+ /day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	livingroom_presence is false	<Presence_Sensor,presence,not_present>	set lightbulb switch off	<Light_Bulb,switch,off>	Many times in a day (5+ /day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	motion detected AND mode is NOT Home	<Motion_Sensor-null,motion-locationMode,detected-away>	take image with security camera	<Security_Camera,image,take>	Few times in a year	Weekday	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	motion detected AND mode is NOT Home	<Motion_Sensor-null,motion-locationMode,detected-vacation>	take image with security camera	<Security_Camera,image,take>	Few times in a year	Weekday	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	push/sms/email notification received	<Phone,notification,notify>	mute speaker	<Speaker,mute,muted>	Many times in a day (5+ /day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_ustn59oYT3EeRl7	time is 01:00AM	<null,time,night>	switch off smart tv	<Smart_TV,switch,off>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Scheduled-time (e.g. |  brew coffee at 7 am)
