ResponseId	Trigger	Trigger Token	Action	Action Token	Frequency	Week	Time	Schedule
R_2v6rn5DOjCmk2R8	the $Time$ is over 11am	<null,time,morning>	switch the Rice Cooker on.	<Rice_Cooker,switch,on>	Many times in a day (5+ /day)	Weekday	Around noon (11am-1pm)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_2v6rn5DOjCmk2R8	water of Moisture Sensor is dry	<Moisture_Sensor,water,dry>	switch the Humidifier on.	<Humidifier,switch,on>	Few times in a day (1-5/day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_2v6rn5DOjCmk2R8	Motion sensor detects human in a room	<Motion_Sensor,motion,detected>	set the goal temperature of the air conditioner to a specific one.	<Air_Conditioner,thermostat,auto>	Many times in a day (5+ /day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_2v6rn5DOjCmk2R8	Motion sensor detects no human in a room	<Motion_Sensor,motion,not_detected>	set the goal temperature of the air conditioner to a wide range	<Air_Conditioner,thermostat,auto>	Many times in a day (5+ /day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_2v6rn5DOjCmk2R8	CO detector detects CO	<CO_Detector,carbonMonoxide,detected>	set alarm on.	<Security_Alarm,alarm,siren_strobe>	Few times in a year	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_2v6rn5DOjCmk2R8	CO detector battery is low	<CO_Detector,battery,lesser>	set alarm on	<Security_Alarm,alarm,siren_strobe>	Few times in a year	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_2v6rn5DOjCmk2R8	Temperature is high (or time in summer)	<Temperature_Sensor,temperature,greater>	set light bulb hue to higher. (blue?)	<Light_Bulb,colorValue,fixed_value>	Few times in a year	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_2v6rn5DOjCmk2R8	temperature is low	<Temperature_Sensor,temperature,lesser>	set light bulb hue to lower. (orange?)	<Light_Bulb,colorValue,fixed_value>	Few times in a year	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
